<<<<<<< HEAD
word,score,type
lezzetli,4.0,positive
lezzetsiz,-4.0,negative
lezetli,4.0,positive
lezetsiz,-4.0,negative
taze,4.0,positive
bayat,-4.0,negative
sıcak,3.0,positive
soğuk,-3.0,negative
sicak,3.0,positive
soguk,-3.0,negative
iyi,4.0,positive
kötü,-4.0,negative
guzel,4.0,positive
cirkin,-4.0,negative
güzel,4.0,positive
çirkin,-4.0,negative
kusursuz,5.0,positive
rezalet,-5.0,negative
tuzu_yerinde,3.5,positive
tatsız,-3.5,negative
lezzet_patlaması,4.8,positive
lezzet_faciası,-4.8,negative
lezzet_patlamasi,4.8,positive
lezzet_faciasi,-4.8,negative
iyi_pişmiş,3.8,positive
çiğ,-3.8,negative
iyi_pismis,3.8,positive
cig,-3.8,negative
tam_kıvamında,4.0,positive
yanık,-4.0,negative
kivaminda,4.0,positive
yanik,-4.0,negative
sulu,2.5,positive
kuru,-2.5,negative
doyurucu,4.0,positive
aç_kaldık,-4.0,negative
ac_kaldik,-4.0,negative
porsiyon_büyük,3.2,positive
porsiyon_küçük,-3.2,negative
porsiyon_buyuk,3.2,positive
porsiyon_kucuk,-3.2,negative
hızlı,4.0,positive
yavaş,-4.0,negative
hizli,4.0,positive
yavas,-4.0,negative
kibar,4.2,positive
kaba,-4.2,negative
ilgili,4.0,positive
ilgisiz,-4.0,negative
güler_yüzlü,4.5,positive
asık_suratlı,-4.5,negative
guler_yuzlu,4.5,positive
asik_suratli,-4.5,negative
saygılı,4.3,positive
saygısız,-4.3,negative
saygili,4.3,positive
saygisiz,-4.3,negative
yardımcı,3.5,positive
köstek,-3.5,negative
profesyonel,4.0,positive
amatör,-4.0,negative
zamanında,3.5,positive
gecikti,-3.5,negative
sipariş_doğru,4.5,positive
sipariş_yanlış,-4.5,negative
siparis_dogru,4.5,positive
siparis_yanlis,-4.5,negative
ikram_var,3.0,positive
ikram_yok,-3.0,negative
servis_iyi,4.0,positive
servis_kötü,-4.0,negative
temiz,4.5,positive
pis,-4.5,negative
hijyenik,4.8,positive
hijyenik_değil,-4.8,negative
pırıl_pırıl,4.5,positive
kirli,-4.5,negative
