Sentence,Aspect,Polarity
Manzara sahane evet ama servis rezalet.,Manzara,2
Manzara sahane evet ama servis rezalet.,servis,0
"Soguk su isteyince, soguk yok, butun sulari disari cikardik diyen garson, siparisten tam 2 saat sonra gelen yemekler, yemegin yaninda soylenen roka ve pureden eser olmamasi, istedigimiz 2 mezenin de kalmamis olmasi.",mezenin,0
"Soguk su isteyince, soguk yok, butun sulari disari cikardik diyen garson, siparisten tam 2 saat sonra gelen yemekler, yemegin yaninda soylenen roka ve pureden eser olmamasi, istedigimiz 2 mezenin de kalmamis olmasi.",garson,0
"Yemekler iyi hos, lezzetler iyi ama heyecan verici bi taraflari yok, iyi bir baligi iyi bir sekilde izgara yapmak artik atla deve bi olay degil.",Yemekler,2
"Yemekler iyi hos, lezzetler iyi ama heyecan verici bi taraflari yok, iyi bir baligi iyi bir sekilde izgara yapmak artik atla deve bi olay degil.",lezzetler,2
bu servise bu fiyatlar ise cok faZla.,fiyatlar,0
Lacivert beni kalitesinin dusukluguyle cok sasirtti,kalitesinin,0
Buraya bu kadar iyi yorum yapanlar her halde daha önce hiç balik yemediler.,balik,0
Kalamardan ve koladan önce balik geldi ve apar topar önümüze atildi.,balik geldi,0
ayrica gelen kalamar soguk ve sünger gibiydi.,kalamar,0
Daha önce de söyledigim gibi büyüdükçe kalitesi düsen yerlerden,kalitesi,0
Kesinlikle ev yemegi degil - Bu kadar basarisiz ev yemekleri olmasina ragmen ögle saatlerinde ki yogunlugu çözebilmis degilim.,ev yemegi,0
Ya insanlar gerçekten ev yemeginin nasil oldugunu bilmiyorlar.,ev yemeginin,0
1 kere denedigim fiyatlarinin yüksek yemeklerinin lezzetsiz oldugu bir mekan önermiyorum.,fiyatlarinin,0
1 kere denedigim fiyatlarinin yüksek yemeklerinin lezzetsiz oldugu bir mekan önermiyorum.,yemeklerinin,0
"mekanın girişinde kasap reyonu ışıltılı,sıcak bir ortam yaratılmaya çalışılmış manzara olmadığı için bulunduğu konumda pek samimi bulmadım.",kasap reyonu,0
garsonumuz ilgisizdi biz söyledikce yaptı buda benim restauranttan beklentimi zayıflatıyor.,garsonumuz,0
lokumun daha iyisini yedim küşleme güzeldi.,lokumun,1
lokumun daha iyisini yedim küşleme güzeldi.,küşleme,2
bilemedim mekana daha sonra belki bir şans daha verebilirim.,mekana,1
2 sene önce hızlı bir kahvaltı yapmak için geldiğimiz mekana dair hatırımda kalan 6 tl lik çayı oldu:,çayı,0
) menüde dikkat etmemiştik ama hesap gelince ufak bir şok yaşamıştık😩 güzel olabilir ama kahvaltıdan fazla ödediğimiz çay yüzünden bir daha uğramadık.,çay,0
Şatobiryanı öneririm.,Şatobiryanı,2
Sosu tereyagli ve yumusak .,Sosu,2
Sert et sevmeyenler icin cok lezzetliydi.,et,2
Guvecte yogurt ve salatayla iyi bir uclu oldu.,Guvecte yogurt ve salatayla,2
Servisi hizli valesi var.,Servisi,2
Acik mekanda ise gardenya bolumu guzel.,gardenya bolumu,2
Bugun çalışan arkadasin yonlendirmesiyle siyah caylardan bourbon vanilla ictik.,bourbon vanilla,1
Vanilya tadi gerçekten baya hissediliyodu ama ben beyaz caylarini daha cok begenmistim.,beyaz caylarini,2
"Ortam güzel,özellikle rahat oturma köşeleri👌 Esas kahve sever biri oldugum icin cok tercih ettigim mekan değil ama yine de arada degisiklik icin guzel olabilir.",Ortam,2
"Ortam güzel,özellikle rahat oturma köşeleri👌 Esas kahve sever biri oldugum icin cok tercih ettigim mekan değil ama yine de arada degisiklik icin guzel olabilir.",oturma köşeleri,2
Yoğun olduğu günlerde(cumartes-pazar) gitmenizi tavsiye etmem.,gitmenizi,0
Şubelerden en iyisi Pendik merkez ana şubesi iyidir.,Pendik merkez ana şubesi,2
Bugüne kadar dışarıda yediğim en lezzetli kurufasülyeci.,kurufasülyeci,2
"Fasulyesi ağızda dağılıyor adeta, lokum gibi.",Fasulyesi,2
Duyduğum kadarıyla suda değil sütte bekletiyorlarmış.,bekletiyorlarmış,1
"Yanında turşu, cacık veya yoğurtla harika oluyor.","turşu, cacık veya yoğurtla",2
"Pilavı da çok lezzetli, mis gibi tereyağ kokuyor.",Pilavı,2
"Pilavı da çok lezzetli, mis gibi tereyağ kokuyor.",kokuyor,2
Finali sütlaçla yapmanızı tavsiye ediyorum.,sütlaçla,2
Sütlacı da enfes.,Sütlacı,2
"Hard Rock Cafe'de hiç sıra beklemeden oturmaya alışık değiliz ki biz, Avrupa veya Amerika'dakilerle aynı duyguyu vermiyor bu sebeple ama lezzet tabii yine aynı.",lezzet,2
"Hard Rock Cafe'de hiç sıra beklemeden oturmaya alışık değiliz ki biz, Avrupa veya Amerika'dakilerle aynı duyguyu vermiyor bu sebeple ama lezzet tabii yine aynı.",sıra,1
Atıştırmalık Jumbo Combo pek yummy!,Atıştırmalık Jumbo Combo,2
Deniz ürünleri çok başarılı.,Deniz ürünleri,2
Manzarası zaten mükemmel.,Manzarası,2
"Bütün istanbul'un güzelliğini, yoğunluğunu hissediyorsun.",hissediyorsun,2
Onun dışında pek öğrenci mekanı değil.,öğrenci mekanı,1
"Özel günlerde gidilecek, küçük kutlamalar yapılacak bir yer",yer,1
"Rahatça sohbet edebilmek istiyorsanız, orta mükemmel.",sohbet edebilmek,2
"Çalan müzik tam kıvamında, rahatsız etmiyor.",Çalan müzik,2
"Yemekleri çok lezzetli, manzara mükemmel.",Yemekleri,2
"Yemekleri çok lezzetli, manzara mükemmel.",manzara,2
"ancak hesap biraz abartılı geliyor, balık yemeden kişi başı 100 liradan fazla ödedik, itiraz etmek gerekir.",hesap,0
Kalabalik zamanlarda servis fazlasiyla aksiyor.,servis,0
"Bosken soylemis oldugum makarna ne kadar hizli geldiyse, mekanin dolmasiyla arkadasimin soylemis oldugu siparis unutuldu, defalarca hatirlatma yapmamiz gerekti.",siparis,0
Ayrica masalarin fazla ic ice olmasi zaman zaman rahatsiz olmaniza neden olabiliyor,masalarin,0
"Kış aylarında içerideki sıcak ve loş ışıklı ortamında güzel yemekler yiyebilir, yazın da dışarıda o harika çilekli magnoliasından tadabilirsiniz.",çilekli magnoliasından,2
"Kış aylarında içerideki sıcak ve loş ışıklı ortamında güzel yemekler yiyebilir, yazın da dışarıda o harika çilekli magnoliasından tadabilirsiniz.",ortamında,2
"Kış aylarında içerideki sıcak ve loş ışıklı ortamında güzel yemekler yiyebilir, yazın da dışarıda o harika çilekli magnoliasından tadabilirsiniz.",yemekler,2
İçinizi serinletecek enfes bir tat.,tat,2
Garsonlar suratsiz.,Garsonlar,0
Kasarli köftenin içinde kasar olmayan ve köfte ustasi geçinen bir yer!,Kasarli köftenin,0
Kasarli köftenin içinde kasar olmayan ve köfte ustasi geçinen bir yer!,yer,0
Isletme sahibi kaba.,Isletme sahibi,0
Bizim kasarli köfte tanimimiz böyle diyor sadece!,kasarli köfte,0
Müsteri memnuniyeti sifir!,Müsteri memnuniyeti,0
"Yılların Sampi'si, canım pide istediğimde eve sipariş için tercih ettiğim yerlerdendir.",pide,2
O zaman keşke başlangıçlarda menüde yer almasa!,menüde,0
Beşiktaş'ta tam otobüs duraklarının arkasında olmasından dolayı ulaşımı çok kolay ve fiyatları elbette çok makul.,ulaşımı,2
Beşiktaş'ta tam otobüs duraklarının arkasında olmasından dolayı ulaşımı çok kolay ve fiyatları elbette çok makul.,fiyatları,2
"Ben çıtır pide sevenlerdenim, dolayısıyla siparişi verirken özellikle rica ettim ve gerçekten de çitir çitir pide geldi.",pide,2
Ancak maalesef birlikte gittiğim arkadaşlarım hiç sevmezmiş çıtır pideyi ve tabii ki onların ki de çıtır geldi.,pideyi,0
Neyse tadı paket servisten elbette çok daha iyidi neticede beklemeden yeme imkanınız var.,tadı,2
"Malzemesi bol, porsiyonu tam kıvamındaydı.",Malzemesi,2
"Malzemesi bol, porsiyonu tam kıvamındaydı.",porsiyonu,2
Beşiktaş'ın göbeğinde.,Beşiktaş'ın göbeğinde,2
Ve deneyim maalesef çok da olumlu olmadı.,deneyim,0
"Pide lezzeti lafım yok, ama sipariş verirken bir arkadaşımızın kenarlarını çıtır çıtır istemesini yanlış anlamış olacak ki, tüm siparişleri çıtır çıtır getirdi.",Pide lezzeti,2
"Pide lezzeti lafım yok, ama sipariş verirken bir arkadaşımızın kenarlarını çıtır çıtır istemesini yanlış anlamış olacak ki, tüm siparişleri çıtır çıtır getirdi.",siparişleri,0
"Sevmediğimden yiyemedim kenarlarını, ama ortası pek lezizdi.",kenarlarını,0
"Sevmediğimden yiyemedim kenarlarını, ama ortası pek lezizdi.",ortası,2
"Başlangıç için menüde başlangıçlarda yer alan lahmacunun, ana yiyecek pideden daha geç gelecek olması ise ayrı bi durumdu tabii.",gelecek,0
"Yemek yemek için çok fazla vaktiniz yoksa, bütçeyi çok sarsmayalım, çok keyifli yemek yemesek de olur yeter ki karnımız doysun diye düşünenler için Çarşı'nın göbeğinde Sampi gayet ideal.",Yemek,0
"Yemek yemek için çok fazla vaktiniz yoksa, bütçeyi çok sarsmayalım, çok keyifli yemek yemesek de olur yeter ki karnımız doysun diye düşünenler için Çarşı'nın göbeğinde Sampi gayet ideal.",bütçeyi,2
"4 sicak iceceklerde servis agir, kahvalti icin tercih edilwbilir olsa da lezzete gore fiyat yuksek kaliyor.",servis,0
"4 sicak iceceklerde servis agir, kahvalti icin tercih edilwbilir olsa da lezzete gore fiyat yuksek kaliyor.",kahvalti,2
"4 sicak iceceklerde servis agir, kahvalti icin tercih edilwbilir olsa da lezzete gore fiyat yuksek kaliyor.",fiyat,0
Mutlaka bir hafta önceden rezarvasyon yaptırın iyi bir rum meyhanesi yemekleri başarılı olduğu gibi şahane bir manzarası var bu mekanın en büyük olayı sürekli ikram yapmalarıdır pahalı olmasına rağmen hak ediyor.,manzarası,2
Mutlaka bir hafta önceden rezarvasyon yaptırın iyi bir rum meyhanesi yemekleri başarılı olduğu gibi şahane bir manzarası var bu mekanın en büyük olayı sürekli ikram yapmalarıdır pahalı olmasına rağmen hak ediyor.,ikram,2
Mutlaka bir hafta önceden rezarvasyon yaptırın iyi bir rum meyhanesi yemekleri başarılı olduğu gibi şahane bir manzarası var bu mekanın en büyük olayı sürekli ikram yapmalarıdır pahalı olmasına rağmen hak ediyor.,yemekleri,2
Mutlaka ızgara mantar ve istakoz kavurma deneyin gittiğim ve hiçbir zaman pişman olmadığım ender yerlerden biridir,istakoz kavurma,2
Mutlaka ızgara mantar ve istakoz kavurma deneyin gittiğim ve hiçbir zaman pişman olmadığım ender yerlerden biridir,ızgara mantar,2
Mutlaka ızgara mantar ve istakoz kavurma deneyin gittiğim ve hiçbir zaman pişman olmadığım ender yerlerden biridir,yerlerden,2
Baliklarin yanina Rum ve ermeni mutfagindan mezelerde pek bir yakisiyor.,mezelerde,2
"kuskonmaz somon sarma,kagitta balik pastirma kesinlikle denenmeli.",kuskonmaz somon sarma,2
"kuskonmaz somon sarma,kagitta balik pastirma kesinlikle denenmeli.",kagitta balik pastirma,2
Burada caylar harika!,caylar,2
Vanilla ve portakal aromasina doyamayacaginiz harika bir lezzet olmus.,lezzet,2
Ortam muhabbet edebilmek icin gayet guzel fakat manzara beklentiniz var ise baska yeri tercih etmelisiniz.,Ortam,2
Ortam muhabbet edebilmek icin gayet guzel fakat manzara beklentiniz var ise baska yeri tercih etmelisiniz.,manzara,0
Tam tamina 60 farkli cesit cay bulabileceginiz bu mekani ziyaret etmelisiniz!,cay,2
"Hoş bi mekan, severek giderim ve ayrılırken de memnuniyetle ayrılırım her zaman.",mekan,2
"Özellikle akşamları gidilmesini tavsiye ederim, köprünün ve hisarın ışıkları yandığında ayrı bi zevki var.",köprünün ve hisarın ışıkları,2
Hemde canlı müzikle :,canlı müzikle,2
Buranin doneri dedikleri kadar efsane degil.,doneri,0
"Eti yagli , kokuyor, ince dilinmis ve en kotusu aradan 3 saat gecmesine ragmen migdem bulaniyor.",Eti,0
"Eti yagli , kokuyor, ince dilinmis ve en kotusu aradan 3 saat gecmesine ragmen migdem bulaniyor.",Eti,0
Ortami da begenmedim kalabalik 3. Sinif bir yer.,Ortami,0
"Eti lezzetli, mekan gösterişli.",Eti,2
"Eti lezzetli, mekan gösterişli.",mekan,2
Ama sunum resmen sıfır.,sunum,0
30 tl aldığınız hamburger için düz beyaz tabağa koymaktan öteye gidebilirsiniz bence?,tabağa,0
Havuç dilimi ise aşırı yağlı ve şerbetli.,Havuç dilimi,0
Pazar günü 14.30'a kadar kahvaltı dışı servis yapmayan Big Chefs!,servis,0
"Olmadı Big Chefs, zincirsin sen...",Big Chefs,0
Menude yazilmis olmasina ragmen tavuk WRAPimiz patates ile gelmedi nedenini sordugumuz da patatesi kaldirdiklarini menulerini henuz degistirmediklerini soylediler.,tavuk WRAPimiz,0
Gelen tavuk Wrapten 5 dakika sonra biz kofte durum istememize ragmen tavuk sis dürümu geldi durumu soyledik ve degistirdiler.,kofte durum,0
"Tavuklar kupkuruydu, kofte durum ise siradandi.",Tavuklar,0
"Tavuklar kupkuruydu, kofte durum ise siradandi.",kofte durum,1
Ikisininde yanindaki yesillikler sus icin konulmus olup yemeye kalktigimizda aci bi tatla karsilastik.,tatla,0
"Zeytinyagli tabagi soyledik icinde fasulye, barbunya, biber dolmasi, sarma ve saksuka vardi.",Zeytinyagli tabagi,1
Tadlari yerindeydi fakat az koymak icin bayagi bi zorlamislar kendilerini.,Tadlari,2
Tadlari yerindeydi fakat az koymak icin bayagi bi zorlamislar kendilerini.,koymak,0
"Fiyatlar normal, servis cok yavaş, tuvaletler ise pis.",Fiyatlar,1
"Fiyatlar normal, servis cok yavaş, tuvaletler ise pis.",servis,0
"Fiyatlar normal, servis cok yavaş, tuvaletler ise pis.",tuvaletler,0
"güzel olan tek sey manzaraydi, evet çocuk oyun alani var bakimsiz servis elemanlari suratsiz, hele omlet yapan bir bayan var ki benim oturdugum masa dibindeydi gelen herkese bir surat bir tavir ben böyle birsey görmedim .",bayan,0
"güzel olan tek sey manzaraydi, evet çocuk oyun alani var bakimsiz servis elemanlari suratsiz, hele omlet yapan bir bayan var ki benim oturdugum masa dibindeydi gelen herkese bir surat bir tavir ben böyle birsey görmedim .",manzaraydi,2
"güzel olan tek sey manzaraydi, evet çocuk oyun alani var bakimsiz servis elemanlari suratsiz, hele omlet yapan bir bayan var ki benim oturdugum masa dibindeydi gelen herkese bir surat bir tavir ben böyle birsey görmedim .",servis elemanlari,0
"açik büfe kahvaltisi evet çesit çoktu ancak sunum beni tatmin etmedi, temizlik hijyen hissi uyandirmadi.",çesit,2
"açik büfe kahvaltisi evet çesit çoktu ancak sunum beni tatmin etmedi, temizlik hijyen hissi uyandirmadi.",sunum,0
Hos mekan - Mekan yaklasik 3-4 aydir var Tuzla'da.,mekan,2
Gidilebilecek iyi yerlerden birisi.,yerlerden,2
Ilk açildigi ay gittigimizde çok memnun kalmistik ama daha sonraki gidislerimizde servisin çok fazla aksadigina ve garsonlarin yogunluk nedeni ile herkes ile ilgilenememesini gözlemledik.,garsonlarin,0
Ilk açildigi ay gittigimizde çok memnun kalmistik ama daha sonraki gidislerimizde servisin çok fazla aksadigina ve garsonlarin yogunluk nedeni ile herkes ile ilgilenememesini gözlemledik.,servisin,0
Çok az sayida garson çalisiyor ve bazen mekan dolu olunca yetemiyorlar.,garson,0
Klasik dondurma spesiyalleri ve tatlililari var.,dondurma spesiyalleri ve tatlililari,1
"Internetten arastirip gittigim bir yerdi, ancak maalesef beklentilerimi çok karsilamadi.",yerdi,0
Garsonlar istediginiz seyi en az iki kere istemeden maalesef getirmiyorlar.,Garsonlar,0
Internetteki resimlerinden göründügü kadar güzel degildi.,göründügü,0
Su böregi oldukça lezzetli idi.,Su böregi,2
Çay kötü müydü?,Çay,1
Her yönüyle ideal - Bizim okula çok yakin oldugu için çok sik gittigimiz bir yerdir ve muhtesemdir zaten manzarasi.,manzarasi,2
Yazin daha zevkli oluyor manzaraya karsi oturmasi.,manzaraya,2
Marmara ögrencilerine de indirimli fiyat uygulamasi var.,fiyat,2
"Gözleme yapan teyzeler de var bu yil, kumpir servisine de basladilar.",Gözleme,2
Kuaförü de çok ucuz ve iyi ayrica.,Kuaförü,2
Güzel manzara ancak fiyat performans olarak mutfak yeterli değil.,mutfak,0
Güzel manzara ancak fiyat performans olarak mutfak yeterli değil.,manzara,2
